位置,設施名稱,設備編碼,經度,緯度
社子公園公廁右側,救生圈1具告示牌1面,公-社子-1,121.506138,25.090651
芝山公園史蹟公園展示館前側,救生圈1具告示牌1面,公-芝山-1,121.531939,25.102372
天和公園涼亭旁,救生圈1具告示牌1面,公-天和-1,121.534619,25.121007
蜆仔港公園承德路福國路交叉口,救生圈1具告示牌1面,公-蜆仔港-1,121.511952,25.1004
蜆仔港公園,救生圈1具告示牌1面,公-蜆仔港-2,121.511664,25.100643
蜆仔港公園承德路福國路交叉附近,救生圈1具,公-蜆仔港-3,121.510855,25.101033
蜆仔港公園承德路福國路交叉附近,救生圈1具,公-蜆仔港-4,121.510883,25.101422
蜆仔港公園承德路福國路交叉附近,救生圈1具,公-蜆仔港-5,151.510997,25.100751
美崙公園基河路旁,救生圈1具告示牌1面,公-美崙-1,121.310102,25.055172
美崙公園基河路旁,救生圈1具告示牌1面,公-美崙-2,121.310075,25.055273
雙溪公園水池南側涼亭旁,救生圈1具告示牌1面,公-雙溪-1,121.536812,25.098262
雙溪公園水池北側涼亭旁,告示牌1面,公-雙溪-2,121.535471,25.098306
原住民文化主題公園水池,告示牌1面,公-原住民-1,121.550525,25.10224
原住民文化主題公園水池仿竹欄杆旁,救生圈1具告示牌1面,公-原住民-2,121.550839,25.102554
原住民文化主題公園水池,告示牌1面,公-原住民-3,121.551156,25.102658
原住民文化主題公園水池涼亭左側,告示牌1面,公-原住民-4,121.551323,25.102574
原住民文化主題公園水池涼亭左側,告示牌1念,公-原住民-5,121.551181,25.102337
至善公園荷花池左側旁,救生圈1具告示牌1面,公-至善-1,121.53756,25.09941
至善公園鏡面水池左側旁,救生圈1具告示牌1面,公-至善-2,121.53829,25.09866
至善公園水車生態池左側旁,救生圈1具告示牌1面,公-至善-3,121.54003,25.09784
至善公園鏡面水池正面階梯旁,告示牌1面,公-至善-4,121.53797,25.09861
至善公園水車生態池右側旁,告示牌1面,公-至善-5,121.54029,25.09766
外雙溪公園生態池水生植物親密巡禮告示牌旁,救生圈1具告示牌1面,公-外雙溪-1,121.55256,25.10134
外雙溪公園水生植物的生存策略告示牌左側旁,告示牌1面,公-外雙溪-2,121.55255,25.10147
